item_1,item_2,item_3,item_4,item_5
milk:1,bananas:1,bread:0,flour:0,beef:1
milk:0,bananas:1,bread:1,flour:0,beef:0
milk:1,bananas:0,bread:0,flour:1,beef:1
milk:1,bananas:1,bread:1,flour:1,beef:0
milk:1,bananas:1,bread:1,flour:0,beef:0
milk:0,bananas:1,bread:0,flour:0,beef:0
milk:0,bananas:0,bread:0,flour:0,beef:1
milk:1,bananas:0,bread:0,flour:0,beef:0
milk:0,bananas:0,bread:0,flour:0,beef:0
milk:0,bananas:0,bread:1,flour:0,beef:0
milk:1,bananas:0,bread:1,flour:0,beef:1
milk:0,bananas:1,bread:0,flour:0,beef:1
milk:0,bananas:0,bread:0,flour:1,beef:1
milk:1,bananas:0,bread:0,flour:0,beef:0
