item_1,item_2,item_3,item_4,item_5,item_6,item_7
tea:0,coffee:0,bananas:1,cheese:0,rice:0,bread:0,beef:0
tea:1,coffee:0,bananas:1,cheese:0,rice:0,bread:0,beef:0
tea:0,coffee:1,bananas:0,cheese:0,rice:1,bread:1,beef:0
tea:1,coffee:0,bananas:1,cheese:1,rice:0,bread:0,beef:1
tea:0,coffee:0,bananas:0,cheese:0,rice:1,bread:0,beef:1
tea:0,coffee:0,bananas:0,cheese:0,rice:1,bread:0,beef:0
tea:0,coffee:0,bananas:0,cheese:1,rice:0,bread:0,beef:0
tea:1,coffee:0,bananas:0,cheese:0,rice:0,bread:0,beef:0
tea:1,coffee:1,bananas:0,cheese:0,rice:1,bread:1,beef:0
tea:0,coffee:0,bananas:0,cheese:1,rice:0,bread:1,beef:0
tea:0,coffee:0,bananas:1,cheese:1,rice:0,bread:0,beef:1
tea:0,coffee:1,bananas:1,cheese:0,rice:1,bread:0,beef:0
tea:0,coffee:0,bananas:0,cheese:0,rice:0,bread:0,beef:1
tea:1,coffee:1,bananas:0,cheese:0,rice:0,bread:0,beef:0
tea:0,coffee:0,bananas:1,cheese:0,rice:1,bread:1,beef:0
