item_1,item_2,item_3,item_4,item_5
hat:0,skirt:0,sweater:0,coat:0,scarf:1
hat:1,skirt:0,sweater:1,coat:0,scarf:1
hat:0,skirt:1,sweater:1,coat:1,scarf:0
hat:0,skirt:0,sweater:0,coat:0,scarf:0
hat:0,skirt:1,sweater:0,coat:1,scarf:1
hat:1,skirt:1,sweater:0,coat:0,scarf:1
hat:1,skirt:0,sweater:0,coat:1,scarf:1
hat:0,skirt:0,sweater:1,coat:1,scarf:0
hat:0,skirt:0,sweater:0,coat:0,scarf:1
hat:0,skirt:1,sweater:0,coat:0,scarf:0
hat:0,skirt:0,sweater:0,coat:0,scarf:0
hat:0,skirt:1,sweater:1,coat:1,scarf:1
hat:1,skirt:0,sweater:0,coat:1,scarf:1
hat:1,skirt:0,sweater:1,coat:1,scarf:1
hat:0,skirt:0,sweater:1,coat:0,scarf:0
