item_1,item_2,item_3,item_4,item_5,item_6,item_7,item_8,item_9,item_10
pants:0,jacket:0,hat:1,skirt:0,socks:1,gloves:0,sweater:1,coat:1,belt:0,scarf:1
pants:0,jacket:0,hat:1,skirt:1,socks:0,gloves:0,sweater:0,coat:0,belt:0,scarf:1
pants:0,jacket:0,hat:1,skirt:1,socks:0,gloves:1,sweater:0,coat:0,belt:0,scarf:1
pants:0,jacket:0,hat:1,skirt:0,socks:0,gloves:1,sweater:0,coat:1,belt:1,scarf:1
pants:1,jacket:0,hat:1,skirt:1,socks:1,gloves:1,sweater:1,coat:0,belt:0,scarf:0
pants:1,jacket:0,hat:1,skirt:0,socks:0,gloves:1,sweater:1,coat:0,belt:0,scarf:0
pants:0,jacket:1,hat:1,skirt:0,socks:0,gloves:0,sweater:1,coat:0,belt:0,scarf:1
pants:1,jacket:0,hat:1,skirt:1,socks:1,gloves:0,sweater:1,coat:1,belt:0,scarf:1
pants:1,jacket:0,hat:1,skirt:0,socks:0,gloves:0,sweater:1,coat:0,belt:0,scarf:1
pants:0,jacket:1,hat:0,skirt:0,socks:1,gloves:1,sweater:0,coat:0,belt:0,scarf:1
pants:0,jacket:1,hat:1,skirt:1,socks:0,gloves:0,sweater:0,coat:0,belt:0,scarf:0
pants:0,jacket:1,hat:0,skirt:1,socks:0,gloves:0,sweater:0,coat:0,belt:0,scarf:0
pants:1,jacket:1,hat:0,skirt:0,socks:0,gloves:0,sweater:0,coat:0,belt:0,scarf:1
pants:1,jacket:0,hat:1,skirt:1,socks:0,gloves:1,sweater:0,coat:1,belt:0,scarf:0
pants:0,jacket:0,hat:1,skirt:0,socks:0,gloves:0,sweater:0,coat:0,belt:1,scarf:0
pants:0,jacket:0,hat:1,skirt:1,socks:1,gloves:0,sweater:0,coat:1,belt:0,scarf:1
