item_1,item_2,item_3,item_4,item_5,item_6
pants:1,jacket:0,skirt:1,coat:1,belt:0,scarf:0
pants:0,jacket:0,skirt:1,coat:1,belt:0,scarf:1
pants:0,jacket:1,skirt:1,coat:0,belt:0,scarf:0
pants:0,jacket:0,skirt:1,coat:1,belt:1,scarf:0
pants:0,jacket:1,skirt:0,coat:1,belt:0,scarf:0
pants:0,jacket:0,skirt:1,coat:0,belt:0,scarf:1
pants:0,jacket:0,skirt:0,coat:0,belt:0,scarf:1
pants:1,jacket:0,skirt:1,coat:1,belt:1,scarf:0
pants:0,jacket:0,skirt:0,coat:0,belt:0,scarf:1
pants:1,jacket:0,skirt:0,coat:0,belt:0,scarf:1
pants:0,jacket:1,skirt:0,coat:0,belt:0,scarf:1
pants:1,jacket:0,skirt:1,coat:0,belt:0,scarf:0
pants:0,jacket:0,skirt:1,coat:1,belt:0,scarf:1
