item_1,item_2,item_3,item_4,item_5,item_6,item_7
jacket:1,socks:0,gloves:0,sweater:0,coat:0,belt:0,scarf:0
jacket:0,socks:1,gloves:1,sweater:0,coat:1,belt:0,scarf:1
jacket:0,socks:1,gloves:0,sweater:0,coat:1,belt:1,scarf:0
jacket:1,socks:0,gloves:1,sweater:1,coat:1,belt:0,scarf:0
jacket:1,socks:0,gloves:1,sweater:1,coat:1,belt:0,scarf:1
jacket:0,socks:0,gloves:0,sweater:1,coat:0,belt:1,scarf:1
jacket:0,socks:1,gloves:0,sweater:1,coat:1,belt:0,scarf:1
jacket:0,socks:0,gloves:1,sweater:1,coat:1,belt:1,scarf:1
jacket:0,socks:0,gloves:0,sweater:0,coat:1,belt:1,scarf:1
jacket:0,socks:0,gloves:1,sweater:0,coat:0,belt:0,scarf:1
jacket:0,socks:0,gloves:0,sweater:0,coat:0,belt:1,scarf:0
jacket:1,socks:0,gloves:1,sweater:0,coat:1,belt:1,scarf:0
jacket:0,socks:0,gloves:1,sweater:0,coat:1,belt:0,scarf:0
jacket:1,socks:0,gloves:0,sweater:1,coat:1,belt:0,scarf:1
jacket:0,socks:0,gloves:0,sweater:1,coat:1,belt:0,scarf:1
