item_1,item_2,item_3,item_4,item_5,item_6
steak:1,beer:0,chicken:0,pizza:0,rice:1,dessert:0
steak:0,beer:1,chicken:0,pizza:0,rice:1,dessert:0
steak:0,beer:0,chicken:0,pizza:1,rice:0,dessert:0
steak:1,beer:1,chicken:0,pizza:0,rice:1,dessert:0
steak:0,beer:0,chicken:0,pizza:1,rice:0,dessert:0
steak:0,beer:0,chicken:0,pizza:0,rice:0,dessert:0
steak:1,beer:1,chicken:0,pizza:0,rice:0,dessert:1
steak:0,beer:1,chicken:1,pizza:0,rice:0,dessert:1
steak:1,beer:1,chicken:0,pizza:0,rice:0,dessert:1
steak:1,beer:1,chicken:0,pizza:0,rice:1,dessert:1
steak:1,beer:0,chicken:0,pizza:1,rice:0,dessert:1
steak:1,beer:1,chicken:1,pizza:1,rice:1,dessert:1
steak:1,beer:1,chicken:0,pizza:0,rice:1,dessert:1
steak:0,beer:1,chicken:0,pizza:0,rice:1,dessert:1
steak:0,beer:1,chicken:0,pizza:0,rice:0,dessert:1
steak:0,beer:1,chicken:0,pizza:1,rice:0,dessert:1
steak:0,beer:1,chicken:0,pizza:0,rice:0,dessert:1
