item_1,item_2,item_3,item_4,item_5,item_6,item_7
steak:0,beer:1,sandwich:1,rice:0,wine:0,fish:0,water:0
steak:1,beer:0,sandwich:1,rice:1,wine:0,fish:1,water:0
steak:1,beer:1,sandwich:0,rice:1,wine:0,fish:0,water:1
steak:1,beer:0,sandwich:0,rice:0,wine:0,fish:0,water:0
steak:0,beer:0,sandwich:1,rice:0,wine:0,fish:0,water:0
steak:1,beer:1,sandwich:0,rice:1,wine:1,fish:1,water:1
steak:0,beer:0,sandwich:0,rice:1,wine:0,fish:0,water:1
steak:0,beer:0,sandwich:0,rice:0,wine:1,fish:0,water:0
steak:1,beer:1,sandwich:0,rice:1,wine:0,fish:0,water:0
steak:0,beer:0,sandwich:0,rice:1,wine:1,fish:0,water:0
