item_1,item_2,item_3,item_4,item_5,item_6
beer:0,pizza:1,rice:1,soda:1,water:0,dessert:0
beer:0,pizza:0,rice:1,soda:1,water:0,dessert:0
beer:0,pizza:1,rice:0,soda:0,water:0,dessert:1
beer:1,pizza:0,rice:0,soda:1,water:1,dessert:1
beer:1,pizza:0,rice:1,soda:0,water:0,dessert:1
beer:1,pizza:1,rice:0,soda:1,water:0,dessert:0
beer:0,pizza:0,rice:0,soda:0,water:0,dessert:0
beer:1,pizza:0,rice:0,soda:1,water:0,dessert:0
beer:0,pizza:1,rice:0,soda:0,water:0,dessert:0
beer:1,pizza:0,rice:0,soda:1,water:0,dessert:1
