item_1,item_2,item_3,item_4,item_5,item_6,item_7,item_8,item_9,item_10,item_11,item_12,item_13
steak:0,beer:1,coffee:0,chicken:0,juice:1,sandwich:1,pizza:0,rice:0,soda:1,wine:0,fish:1,water:0,dessert:0
steak:1,beer:1,coffee:0,chicken:0,juice:0,sandwich:0,pizza:0,rice:1,soda:1,wine:0,fish:1,water:0,dessert:1
steak:1,beer:1,coffee:0,chicken:0,juice:1,sandwich:1,pizza:0,rice:0,soda:1,wine:1,fish:1,water:0,dessert:0
steak:0,beer:1,coffee:0,chicken:0,juice:0,sandwich:0,pizza:0,rice:1,soda:0,wine:1,fish:0,water:0,dessert:0
steak:0,beer:0,coffee:0,chicken:0,juice:1,sandwich:0,pizza:0,rice:0,soda:0,wine:1,fish:0,water:0,dessert:0
steak:1,beer:0,coffee:0,chicken:0,juice:0,sandwich:0,pizza:1,rice:0,soda:0,wine:0,fish:0,water:0,dessert:1
steak:0,beer:0,coffee:1,chicken:1,juice:1,sandwich:1,pizza:0,rice:1,soda:0,wine:1,fish:0,water:0,dessert:1
steak:1,beer:1,coffee:0,chicken:1,juice:1,sandwich:0,pizza:1,rice:1,soda:0,wine:0,fish:0,water:1,dessert:0
steak:1,beer:0,coffee:0,chicken:0,juice:0,sandwich:0,pizza:1,rice:0,soda:1,wine:0,fish:0,water:0,dessert:0
steak:1,beer:0,coffee:1,chicken:0,juice:0,sandwich:1,pizza:0,rice:1,soda:0,wine:1,fish:0,water:0,dessert:0
steak:0,beer:0,coffee:0,chicken:0,juice:0,sandwich:0,pizza:1,rice:0,soda:0,wine:1,fish:1,water:1,dessert:1
steak:0,beer:1,coffee:0,chicken:0,juice:0,sandwich:1,pizza:0,rice:0,soda:1,wine:1,fish:0,water:1,dessert:1
