item_1,item_2,item_3,item_4,item_5
mobile_dev:1,design:0,machine_learning:0,javascript:1,data_science:1
mobile_dev:0,design:1,machine_learning:0,javascript:1,data_science:0
mobile_dev:0,design:1,machine_learning:0,javascript:1,data_science:0
mobile_dev:0,design:0,machine_learning:0,javascript:0,data_science:0
mobile_dev:1,design:1,machine_learning:0,javascript:0,data_science:0
mobile_dev:1,design:1,machine_learning:0,javascript:1,data_science:0
mobile_dev:0,design:1,machine_learning:0,javascript:0,data_science:1
mobile_dev:1,design:1,machine_learning:0,javascript:1,data_science:1
mobile_dev:1,design:0,machine_learning:0,javascript:0,data_science:0
mobile_dev:0,design:1,machine_learning:1,javascript:0,data_science:0
mobile_dev:0,design:1,machine_learning:0,javascript:1,data_science:1
mobile_dev:0,design:0,machine_learning:0,javascript:0,data_science:1
mobile_dev:1,design:1,machine_learning:0,javascript:0,data_science:1
mobile_dev:0,design:0,machine_learning:1,javascript:1,data_science:0
mobile_dev:0,design:0,machine_learning:0,javascript:0,data_science:0
mobile_dev:0,design:1,machine_learning:0,javascript:0,data_science:0
mobile_dev:1,design:1,machine_learning:0,javascript:1,data_science:1
mobile_dev:0,design:1,machine_learning:0,javascript:1,data_science:1
mobile_dev:1,design:1,machine_learning:1,javascript:0,data_science:0
mobile_dev:0,design:0,machine_learning:1,javascript:1,data_science:1
mobile_dev:0,design:1,machine_learning:0,javascript:1,data_science:0
mobile_dev:1,design:0,machine_learning:1,javascript:1,data_science:1
mobile_dev:1,design:0,machine_learning:0,javascript:0,data_science:1
