item_1,item_2,item_3,item_4,item_5
insurance:1,restaurant:0,city:0,museum:0,beach:0
insurance:1,restaurant:0,city:1,museum:0,beach:1
insurance:0,restaurant:1,city:0,museum:0,beach:0
insurance:1,restaurant:1,city:1,museum:1,beach:0
insurance:1,restaurant:0,city:0,museum:0,beach:0
insurance:1,restaurant:0,city:1,museum:0,beach:1
insurance:1,restaurant:1,city:1,museum:0,beach:0
insurance:0,restaurant:0,city:0,museum:1,beach:1
insurance:1,restaurant:0,city:0,museum:1,beach:0
insurance:1,restaurant:1,city:1,museum:0,beach:0
insurance:1,restaurant:0,city:1,museum:0,beach:0
insurance:0,restaurant:1,city:0,museum:0,beach:1
