item_1,item_2,item_3,item_4,item_5
insurance:1,restaurant:1,safari:0,beach:1,tour:1
insurance:1,restaurant:0,safari:0,beach:1,tour:0
insurance:1,restaurant:1,safari:0,beach:0,tour:0
insurance:0,restaurant:0,safari:0,beach:1,tour:1
insurance:1,restaurant:0,safari:0,beach:0,tour:0
insurance:1,restaurant:0,safari:0,beach:1,tour:1
insurance:1,restaurant:0,safari:0,beach:0,tour:1
insurance:1,restaurant:1,safari:0,beach:0,tour:0
insurance:0,restaurant:1,safari:0,beach:0,tour:0
insurance:1,restaurant:0,safari:0,beach:0,tour:0
insurance:0,restaurant:0,safari:0,beach:1,tour:0
insurance:1,restaurant:1,safari:0,beach:0,tour:1
insurance:0,restaurant:1,safari:0,beach:0,tour:1
