item_1,item_2,item_3,item_4,item_5,item_6,item_7
insurance:1,restaurant:0,hotel:0,city:1,safari:0,museum:0,flight:0
insurance:0,restaurant:1,hotel:0,city:1,safari:0,museum:0,flight:0
insurance:0,restaurant:1,hotel:1,city:1,safari:0,museum:0,flight:0
insurance:1,restaurant:0,hotel:0,city:0,safari:0,museum:1,flight:0
insurance:1,restaurant:0,hotel:0,city:0,safari:0,museum:0,flight:0
insurance:1,restaurant:1,hotel:1,city:0,safari:0,museum:1,flight:0
insurance:1,restaurant:1,hotel:0,city:1,safari:0,museum:0,flight:0
insurance:0,restaurant:1,hotel:0,city:0,safari:0,museum:0,flight:1
insurance:0,restaurant:1,hotel:0,city:0,safari:0,museum:1,flight:1
insurance:0,restaurant:0,hotel:0,city:1,safari:0,museum:0,flight:1
