item_1,item_2,item_3,item_4,item_5,item_6,item_7
restaurant:0,cruise:1,safari:0,museum:1,beach:1,tour:1,flight:1
restaurant:0,cruise:1,safari:0,museum:1,beach:1,tour:1,flight:1
restaurant:1,cruise:1,safari:0,museum:1,beach:1,tour:0,flight:1
restaurant:1,cruise:0,safari:0,museum:1,beach:1,tour:1,flight:0
restaurant:0,cruise:0,safari:0,museum:0,beach:0,tour:0,flight:0
restaurant:0,cruise:1,safari:0,museum:1,beach:0,tour:0,flight:0
restaurant:1,cruise:0,safari:1,museum:1,beach:0,tour:0,flight:1
restaurant:0,cruise:0,safari:0,museum:0,beach:1,tour:0,flight:1
restaurant:0,cruise:1,safari:0,museum:0,beach:0,tour:1,flight:1
restaurant:1,cruise:0,safari:0,museum:0,beach:0,tour:1,flight:0
restaurant:0,cruise:1,safari:0,museum:0,beach:0,tour:0,flight:0
restaurant:0,cruise:0,safari:0,museum:0,beach:0,tour:0,flight:0
restaurant:0,cruise:1,safari:0,museum:1,beach:1,tour:0,flight:1
restaurant:1,cruise:1,safari:0,museum:1,beach:1,tour:0,flight:1
restaurant:0,cruise:0,safari:0,museum:0,beach:1,tour:0,flight:0
restaurant:1,cruise:0,safari:1,museum:0,beach:0,tour:1,flight:1
restaurant:0,cruise:1,safari:0,museum:0,beach:0,tour:0,flight:1
restaurant:1,cruise:0,safari:0,museum:0,beach:1,tour:1,flight:1
restaurant:0,cruise:0,safari:0,museum:0,beach:1,tour:1,flight:1
restaurant:1,cruise:0,safari:0,museum:1,beach:0,tour:0,flight:1
