item_1,item_2,item_3,item_4,item_5,item_6
screws:0,saw:0,wrench:0,screwdriver:0,sandpaper:0,drill:0
screws:0,saw:1,wrench:1,screwdriver:0,sandpaper:1,drill:0
screws:0,saw:1,wrench:0,screwdriver:0,sandpaper:0,drill:0
screws:1,saw:0,wrench:0,screwdriver:0,sandpaper:0,drill:0
screws:1,saw:0,wrench:0,screwdriver:0,sandpaper:1,drill:1
screws:0,saw:0,wrench:0,screwdriver:0,sandpaper:0,drill:0
screws:0,saw:0,wrench:0,screwdriver:0,sandpaper:0,drill:0
screws:0,saw:0,wrench:1,screwdriver:0,sandpaper:1,drill:0
screws:0,saw:1,wrench:0,screwdriver:0,sandpaper:0,drill:0
screws:0,saw:0,wrench:0,screwdriver:0,sandpaper:0,drill:0
screws:0,saw:0,wrench:1,screwdriver:0,sandpaper:0,drill:0
screws:0,saw:1,wrench:0,screwdriver:0,sandpaper:0,drill:1
screws:1,saw:1,wrench:0,screwdriver:0,sandpaper:0,drill:0
