item_1,item_2,item_3,item_4,item_5,item_6,item_7,item_8,item_9
spark_plugs:1,oil:0,lights:1,tires:1,filter:0,brakes:1,battery:0,belts:0,wipers:0
spark_plugs:1,oil:1,lights:0,tires:1,filter:1,brakes:0,battery:0,belts:0,wipers:0
spark_plugs:1,oil:1,lights:0,tires:1,filter:1,brakes:0,battery:0,belts:1,wipers:0
belts:0,belts:1,oil:0,lights:1,,,,,
spark_plugs:1,oil:1,lights:0,tires:0,filter:1,brakes:0,battery:1,belts:1,wipers:0
spark_plugs:1,oil:0,lights:0,tires:0,filter:0,brakes:1,battery:1,belts:1,wipers:1
spark_plugs:1,oil:0,lights:1,tires:0,filter:0,brakes:0,battery:1,belts:0,wipers:0
spark_plugs:1,oil:0,lights:1,tires:1,filter:0,brakes:1,battery:0,belts:1,wipers:0
spark_plugs:0,oil:1,lights:1,tires:1,filter:0,brakes:1,battery:1,belts:1,wipers:0
spark_plugs:1,oil:0,lights:0,tires:0,filter:1,brakes:0,battery:1,belts:1,wipers:0
