item_1,item_2,item_3,item_4,item_5,item_6,item_7
flowers:0,seeds:0,fertilizer:1,plants:1,mulch:0,gloves:1,tools:0
flowers:0,seeds:1,fertilizer:1,plants:0,mulch:0,gloves:0,tools:0
flowers:0,seeds:1,fertilizer:1,plants:0,mulch:0,gloves:0,tools:1
flowers:1,seeds:1,fertilizer:0,plants:0,mulch:1,gloves:0,tools:0
flowers:0,seeds:0,fertilizer:0,plants:0,mulch:0,gloves:1,tools:1
flowers:0,seeds:0,fertilizer:0,plants:1,mulch:0,gloves:1,tools:1
flowers:0,seeds:0,fertilizer:0,plants:0,mulch:0,gloves:1,tools:0
flowers:0,seeds:1,fertilizer:1,plants:1,mulch:0,gloves:0,tools:0
flowers:0,seeds:1,fertilizer:1,plants:0,mulch:0,gloves:0,tools:0
flowers:0,seeds:0,fertilizer:0,plants:1,mulch:1,gloves:1,tools:1
flowers:1,seeds:1,fertilizer:0,plants:1,mulch:0,gloves:0,tools:1
flowers:0,seeds:1,fertilizer:1,plants:1,mulch:0,gloves:0,tools:0
flowers:0,seeds:0,fertilizer:1,plants:0,mulch:0,gloves:0,tools:0
flowers:0,seeds:0,fertilizer:1,plants:0,mulch:0,gloves:0,tools:1
