item_1,item_2,item_3,item_4,item_5
ring:0,earrings:0,pendant:1,necklace:0,chain:0
ring:0,earrings:0,pendant:1,necklace:1,chain:1
ring:0,earrings:1,pendant:1,necklace:1,chain:0
ring:1,earrings:0,pendant:0,necklace:1,chain:1
ring:0,earrings:0,pendant:1,necklace:0,chain:1
ring:1,earrings:1,pendant:1,necklace:0,chain:0
ring:0,earrings:1,pendant:0,necklace:1,chain:1
ring:0,earrings:1,pendant:1,necklace:0,chain:1
ring:1,earrings:0,pendant:0,necklace:0,chain:0
ring:0,earrings:0,pendant:1,necklace:1,chain:1
ring:0,earrings:1,pendant:0,necklace:1,chain:0
ring:1,earrings:1,pendant:0,necklace:0,chain:0
ring:1,earrings:1,pendant:1,necklace:1,chain:0
ring:0,earrings:0,pendant:1,necklace:0,chain:1
ring:0,earrings:1,pendant:0,necklace:1,chain:0
ring:0,earrings:1,pendant:1,necklace:1,chain:1
