item_1,item_2,item_3,item_4,item_5,item_6,item_7,item_8
brooch:1,ring:0,bracelet:1,earrings:1,pendant:0,necklace:1,watch:0,chain:0
brooch:1,ring:1,bracelet:1,earrings:1,pendant:0,necklace:0,watch:0,chain:0
brooch:1,ring:0,bracelet:1,earrings:0,pendant:1,necklace:1,watch:1,chain:0
brooch:0,ring:1,bracelet:0,earrings:0,pendant:0,necklace:0,watch:0,chain:0
brooch:0,ring:0,bracelet:1,earrings:0,pendant:0,necklace:0,watch:0,chain:0
brooch:1,ring:0,bracelet:0,earrings:1,pendant:0,necklace:1,watch:0,chain:1
brooch:1,ring:0,bracelet:0,earrings:1,pendant:1,necklace:1,watch:1,chain:1
brooch:0,ring:0,bracelet:0,earrings:1,pendant:1,necklace:0,watch:0,chain:1
brooch:0,ring:0,bracelet:0,earrings:0,pendant:0,necklace:0,watch:0,chain:0
brooch:1,ring:0,bracelet:1,earrings:0,pendant:1,necklace:0,watch:1,chain:0
brooch:0,ring:0,bracelet:0,earrings:0,pendant:0,necklace:0,watch:0,chain:0
brooch:1,ring:1,bracelet:1,earrings:1,pendant:1,necklace:0,watch:0,chain:0
brooch:0,ring:1,bracelet:0,earrings:0,pendant:0,necklace:1,watch:0,chain:0
brooch:0,ring:0,bracelet:0,earrings:1,pendant:1,necklace:1,watch:0,chain:0
